Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=428dfc714f91eb13,개발 및 배포 인프라 구축,Success Korea 서울 쌍림동,,스크립트 작성(기초) - Docker 사용 - 경력: 2년 이상 - 직급/직책 : 주임-과장 [우대사항] - Docker Hub에 배포한 이미지... 주임-과장 [우대사항] - Docker Hub에 배포한 이미지 다수...
https://kr.indeed.com/viewjob?jk=c193b65defa6a4ec,Web 개발,Success Korea 서울 중구,,"구축 경험자 [우대사항] - GoLang 개발 경험자 - 가상화, Docker 기술 경험자 - 네트워크 지식 보유자 - Python 개발 경험자... GoLang 개발 경험자 - 가상화, Docker 기술 경험자 - 네트워크..."
https://kr.indeed.com/viewjob?jk=75b171b9d5b02dca,AWS클라우드 기반의 시스템구축 엔지니어(쥬니어 ~ 팀장 2명),Success Korea 서울 서초동,,네트워크 이해 우대사항 - AWS클라우드 환경에서 시스템구축 경험자 - Docker등 컨테이너 기술에 대한 이해가능한 자 - 웹개발 경험자 우대... 환경에서 시스템구축 경험자 - Docker등 컨테이너 기술에 대한 이해가능...
https://kr.indeed.com/viewjob?jk=188b1970a79b8b2f,Open Source Engineer(Linux),Success Korea 서울 논현동,,"및 Cloud 전반에 대한 이해가 높은 분 (Container, Docker등) - Azure 설계 및 운영 경험자 우대 [전형절차] 서류전형... 높은 분 (Container, Docker등) - Azure 설계 및 운영..."
https://kr.indeed.com/viewjob?jk=de02498698b3c239,Back-end Developer 백엔드 개발자 (JAVA),Peer 서울 강남구,,"스템 운영에 능숙한 분 블록체인에 대한 열정 및 경험 암호화폐 및 주식 트레이딩 경험 클라우드 서비스 / Docker 컨테이너 활용 경험 사용자 인증 메커니즘에 대한 이해 및 암호화 관련 개발 경험 Python, Go..."
https://kr.indeed.com/viewjob?jk=fa05d2582b63aa26,Developer for HANA Cloud Service Enablem...,SAP 4.3 서울,,"Kubernetes and Docker on Amazon Web... cloud technologies (e.g. Kubernetes, Docker, etc.) Good communication in English..."
https://kr.indeed.com/viewjob?jk=277dba4b889486c0,Server개발_니드포스피드 엣지,Success Korea 서울 강남구,,비자 대상 서비스에대한 전반적인 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차] - 서류심사 온라인 코딩 테스트 1차면접... 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차...
https://kr.indeed.com/viewjob?jk=9d1700f4783d53e0,Cloud System Engineer (3년이상),Success Korea 서울,,"SaltStack, CDK 구축 및 운영 경험 - E-commerce 서비스 인프라 구축 및 운영 경험 - Docker 및 Kubernetes 운영 경험 [전형절차] 서류 모집 서류전형 AI역량검사(온라인) 1차면접 2..."
https://kr.indeed.com/viewjob?jk=715e20b7a5d710b1,[SE] Asia Central Tech Team Software Eng...,Success Korea 대한민국,,"UX에 관심 [우대사항] - Node.js, AngularJS, Docker, Git 사용 경험 - 문서화, 커뮤니케이션 능력 - 웹사이트 개발... js, AngularJS, Docker, Git 사용 경험 - 문서화..."
https://kr.indeed.com/viewjob?jk=429614c204adf6e5,영상보안 코어 연구개발[ASAP],Success Korea 서울 쌍림동,,경험 - 다양한 라이브러리 활용 경험 - 코어 라이브러리 개발 경험 - codec 관련 개발 경험 - Docker 등 가상화 경험 - AI관련 개발 경험 [전형절차] 서류전형-코딩테스트-1차면접/인적성테스트-최종면접...
https://kr.indeed.com/viewjob?jk=902ac0063e169447,[AI/NLP] 자연어처리 서비스 및 ML 플랫폼 서버 개발자 모집,엔씨소프트 2.7 성남 판교역,,Framework 혹은 Library(Tensorflow 등)를 이용한 개발 및 환경 구성 경험이 있으신 분 - Docker 또는 Kubernates 기반 서비스 개발 경험이 있으신 분 - MSA(Micro Service...
https://kr.indeed.com/viewjob?jk=36a46caaa8576b94,E-Coin 플랫폼 개발(대리~과장급),Success Korea 서울 이수역,,"angular등 프론트엔드 프레임웍 사용경험 6. Node.js, docker로 개발 경험이 있으신 분 7. 빌드/테스트/배포 자동화 경험 8... 사용경험 6. Node.js, docker로 개발 경험이 있으신 분 7..."
https://kr.indeed.com/viewjob?jk=9238206d8190433a,"[Coupang Pay] Sr. Manager, Back-end Engi...",Coupang 2.9 서울,,"등등) 클라우드 환경에 대한 경력 (AWS, MSA에 대한 경험) 클라우드에서의 배포 및 운영 환경 ( Docker) 개발 매니저로서 3년 이상의 팀 운영 및 팀장 역할을 경험 우대 사항: 영어 커뮤니케이션이 가능한 분..."
https://kr.indeed.com/viewjob?jk=1a6e2cfdaefec7f5,웹개발자 3명(해외거래소),Success Korea 서울 강남구,,"툴을 통한 배포 서비스 경험자 - angular, vueJs 경험자 - docker 이용 가능자 [전형절차] 서류전형-면접 [제출서류] 국문이력서... angular, vueJs 경험자 - docker 이용 가능자 [전형절차..."
https://kr.indeed.com/viewjob?jk=1cbd8f84bcf85a5a,Server 개발 - 니드포스피드 엣지,Success Korea 서울,,비자 대상 서비스에대한 전반적인 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차] - 서류심사 온라인 코딩 테스트 1차면접... 경험 - MSA 구조에 대한 경험 - Docker에 대한 관심 [전형절차...
https://kr.indeed.com/viewjob?jk=078874a1e6a568be,[쿠팡쇼핑] Sr. Backend Engineer (Product eng...,Coupang 2.9 서울,,"시니어 개발자들과 함께 시스템 디자인 논의에 참여합니다. 분산 환경 시스템을 구현합니다. Java, AWS, Docker등을 사용하게 됩니다. 이런 분을 찾습니다! Java 언어에 대한 이해가 높으신 분 문제를 해결하고자..."
https://kr.indeed.com/viewjob?jk=30da59c8e0f0647a,DevOps Engineer,Success Korea 서울,,분 - JavaScript 기반 CI 환경 구축 경험이 있는 분 - Docker 기반 컨테이너 기반 기술 경험이 있는 분 - 대용량 트래픽 서비스... 환경 구축 경험이 있는 분 - Docker 기반 컨테이너 기반 기술 경험이...
https://kr.indeed.com/viewjob?jk=71ecd14b3431ac40,Cloud Platfrorm 개발 및 운영,Success Korea 성남 분당구,,있으신 분 [우대조건] -고도한 자동화 툴 개발 경험이 있으신 분 - Docker경험이 있으신 분 -Mesos 경험이 있으신 분 -Kubernetes... 동화 툴 개발 경험이 있으신 분 - Docker경험이 있으신 분 -Mesos...
https://kr.indeed.com/viewjob?jk=18848cd6c6f44fbe,S/W Engineering Efficiency,Success Korea 성남 분당구,,분 - 확장가능한 서비스 모니터링 인프라 개발 경험을 가지신 분 - Docker 인프라 구축 및 운영 경험을 가지신 분 - 전문적인 업무가 가능한... 인프라 개발 경험을 가지신 분 - Docker 인프라 구축 및 운영 경험을...
https://kr.indeed.com/viewjob?jk=a07a27da3740cf73,솔루션 지속적통합,Success Korea 서울 충무로역,,"Gitlab CI, Github Action 등의 CI 사용자 - Docker Hub에 배포한 이미지가 다수인 분 - 리눅스 Kickstart 이미지... Action 등의 CI 사용자 - Docker Hub에 배포한 이미지가..."
https://kr.indeed.com/viewjob?jk=69c68396780d738a,Server Platform Engineer (Senior),Success Korea 서울 강남구,,"문서화, 커뮤니케이션 능력 [우대사항] - Node.js, Docker, Git 사용 경험 - Micro Service Architecture에... 대사항] - Node.js, Docker, Git 사용 경험 - Micro..."
https://kr.indeed.com/viewjob?jk=9cd2ea7d7d6c300d,Web application Engineer,Success Korea 서울 강남구,,"UX에 관심 [우대사항] - Node.js, AngularJS, Docker, Git 사용 경험 - 문서화, 커뮤니케이션 능력 - 웹사이트 개발... js, AngularJS, Docker, Git 사용 경험 - 문서화..."
https://kr.indeed.com/viewjob?jk=1947d9fed6bf4e36,백엔드 개발자(리드),Success Korea 서울 역삼역,,"GraphQL, gRPC ? MySQL, MongoDB ? Git, GitHub ? GCP, AWS ? Docker [자격요건] ? 경력 5년 이상(Node.js 경력 3년 이상) ? Node.js를 이용하여 RESTful..."
https://kr.indeed.com/viewjob?jk=18f8b331aceb87db,Vision Engineer/UX engineer,플로이드(FLOYD inc.) 서울 금천구,"연봉 30,000,000원 - 48,000,000원","Realsense등)을 이용한 개발 - Deep Learning model 경량화 - Git, Docker 등 기본적인 개발 도구 사용 - Github/Gitlab 등 repository 운영 채용*분야 2..."
https://kr.indeed.com/viewjob?jk=29fd1dfb52807853,Software Engineer,Success Korea 대한민국,,서비스의 개발 및 운영 경험 · 웹 서비스의 개발 및 운영 경험 · Docker 등의 컨테이너 기반 서비스 운영 및 경험 · BI 또는 데이터 마이닝... 비스의 개발 및 운영 경험 · Docker 등의 컨테이너 기반 서비스 운영...
https://kr.indeed.com/viewjob?jk=45eb3f50d5eb79d1,가맹점 관리자 사이트 개발 (계약직)-ASAP,Success Korea 성남 판교역,,경험자 [우대사항] - MongoDB 유경험자 - AWS EC2 및 Docker 환경 개발 유경험자 [연봉] 협의진행 [근무지] 판교 [전형절... 유경험자 - AWS EC2 및 Docker 환경 개발 유경험자 [연봉...
https://kr.indeed.com/viewjob?jk=bd701efb0552580e,Deep Learning Platform Engineer,PUBG 서울,,"Spark 등 분산 시스템 개발 환경에 대한 높은 이해도 및 경험 - Docker, Kubernetes에 대한 높은 이해도 - AWS 서비스와 SDK... knowledge of Docker and Kubernetes..."
https://kr.indeed.com/viewjob?jk=26e5364712916061,QA 엔지니어,Success Korea 서울 강남구,,"빌드 담당 엔지니어 [자격요건] - QA업무 경력 5년 이상 - docker를 이용한 개발(php, java, mysql, oracle 등) 환경... QA업무 경력 5년 이상 - docker를 이용한 개발(php, java..."
